2024-02-14 13:39:28 Updating the configuration and installing your custom providers, if any. Please wait.
2024-02-14 13:40:48 2024-02-14 04:40:48,495 INFO  [io.quarkus.deployment.QuarkusAugmentor] (main) Quarkus augmentation completed in 66195ms
2024-02-14 13:41:01 2024-02-14 04:40:51,929 INFO  [org.keycloak.quarkus.runtime.hostname.DefaultHostnameProvider] (main) Hostname settings: Base URL: <unset>, Hostname: <request>, Strict HTTPS: false, Path: <request>, Strict BackChannel: false, Admin URL: <unset>, Admin: <request>, Port: -1, Proxied: false
2024-02-14 13:41:02 2024-02-14 04:41:02,082 WARN  [io.quarkus.agroal.runtime.DataSources] (main) Datasource <default> enables XA but transaction recovery is not enabled. Please enable transaction recovery by setting quarkus.transaction-manager.enable-recovery=true, otherwise data may be lost if the application is terminated abruptly
2024-02-14 13:41:07 2024-02-14 04:41:07,150 WARN  [org.infinispan.PERSISTENCE] (keycloak-cache-init) ISPN000554: jboss-marshalling is deprecated and planned for removal
2024-02-14 13:41:07 2024-02-14 04:41:07,969 INFO  [org.infinispan.CONTAINER] (keycloak-cache-init) ISPN000556: Starting user marshaller 'org.infinispan.jboss.marshalling.core.JBossUserMarshaller'
2024-02-14 13:41:08 2024-02-14 04:41:08,406 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000088: Unable to use any JGroups configuration mechanisms provided in properties {}. Using default JGroups configuration!
2024-02-14 13:41:08 2024-02-14 04:41:08,639 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000078: Starting JGroups channel `ISPN`
2024-02-14 13:41:08 2024-02-14 04:41:08,641 INFO  [org.jgroups.JChannel] (keycloak-cache-init) local_addr: de5074e2-2e66-4e56-adfe-b8851e68f947, name: 6d617897bd5b-40981
2024-02-14 13:41:08 2024-02-14 04:41:08,656 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the send buffer of socket MulticastSocket was set to 1MB, but the OS only allocated 212.99KB
2024-02-14 13:41:08 2024-02-14 04:41:08,657 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the receive buffer of socket MulticastSocket was set to 20MB, but the OS only allocated 212.99KB
2024-02-14 13:41:08 2024-02-14 04:41:08,664 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the send buffer of socket MulticastSocket was set to 1MB, but the OS only allocated 212.99KB
2024-02-14 13:41:08 2024-02-14 04:41:08,666 WARN  [org.jgroups.protocols.UDP] (keycloak-cache-init) JGRP000015: the receive buffer of socket MulticastSocket was set to 25MB, but the OS only allocated 212.99KB
2024-02-14 13:41:08 2024-02-14 04:41:08,709 INFO  [org.jgroups.protocols.FD_SOCK2] (keycloak-cache-init) server listening on *.42015
2024-02-14 13:41:10 2024-02-14 04:41:10,823 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000094: Received new cluster view for channel ISPN: [6d617897bd5b-40981|0] (1) [6d617897bd5b-40981]
2024-02-14 13:41:10 2024-02-14 04:41:10,878 INFO  [org.infinispan.CLUSTER] (keycloak-cache-init) ISPN000079: Channel `ISPN` local address is `6d617897bd5b-40981`, physical addresses are `[172.18.0.6:57551]`
2024-02-14 13:41:11 2024-02-14 04:41:11,020 WARN  [org.infinispan.CONFIG] (keycloak-cache-init) ISPN000569: Unable to persist Infinispan internal caches as no global state enabled
2024-02-14 13:41:12 2024-02-14 04:41:12,326 INFO  [org.infinispan.CLUSTER] (jgroups-7,6d617897bd5b-40981) ISPN000094: Received new cluster view for channel ISPN: [6d617897bd5b-40981|1] (2) [6d617897bd5b-40981, 53238ef5ebfc-36250]
2024-02-14 13:41:12 2024-02-14 04:41:12,330 INFO  [org.infinispan.CLUSTER] (jgroups-7,6d617897bd5b-40981) ISPN100000: Node 53238ef5ebfc-36250 joined the cluster
2024-02-14 13:41:12 2024-02-14 04:41:12,332 INFO  [org.infinispan.CLUSTER] (jgroups-7,6d617897bd5b-40981) ISPN100000: Node 53238ef5ebfc-36250 joined the cluster
2024-02-14 13:41:12 2024-02-14 04:41:12,350 INFO  [org.keycloak.connections.infinispan.DefaultInfinispanConnectionProviderFactory] (main) Node name: 6d617897bd5b-40981, Site name: null
2024-02-14 13:41:12 2024-02-14 04:41:12,355 INFO  [org.keycloak.broker.provider.AbstractIdentityProviderMapper] (main) Registering class org.keycloak.broker.provider.mappersync.ConfigSyncEventListener
